1489165464205,59997,59998,59998,59999,59998,59998,59999,59999,59999,59999,59999,59997,59999,59999,5999,59999,59999,59997,59999,59999,59999,59999,60000,59999,59999,59999,59999,59996,59999,59999,59999,59999,59999,59998,60000,59999,59999,59999,59999,59999,59999,59999,59999,5999,5999,5999,5999
1489165464403,59998,60000,59999,59999,60001,59999,59999,59999,59999,59999,60000,60001,59999,59999,5999,59999,59999,60000,60000,60000,60000,59999,60000,59999,59999,59999,59999,59999,59999,59999,60000,59999,59999,59998,60000,59999,59999,59999,59999,59999,59999,59999,59999,5999,5999,5999,6000
1489165464602,60002,59999,60000,59999,60000,60001,59999,59999,59999,59999,59999,60001,59999,60000,5999,60000,59999,60000,59999,60000,60000,59999,60000,59999,60000,60000,59999,60002,59999,59999,60000,59999,60000,60000,60000,59999,59999,59999,59999,60000,60000,60000,59999,6000,5999,5999,5999
1489165464803,60000,59999,59998,59999,59999,60000,59999,59999,59999,59999,60000,59999,59999,59999,5999,59999,59999,60000,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59998,59998,59999,59999,59999,59998,60000,59999,59999,59999,59999,60000,60000,60000,59999,6000,5999,5999,6000
1489165465003,60001,60000,60000,59999,60000,59999,59999,59999,59999,59999,59999,60000,59999,59999,5999,59999,59999,59997,59999,59999,59999,59999,59999,59999,59999,59999,59999,59998,59999,59999,60000,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,5999,5999,5999,5999
1489165465203,59997,59998,59998,59999,59997,59999,59999,59999,59999,59999,59999,59997,59999,59999,5999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,60001,59999,59999,60000,59998,59999,59999,59999,59999,59999,59999,59999,59999,5999,5999,5999,5999
1489165465403,60001,60000,59999,59999,59998,60000,59999,59999,59999,59999,59998,59999,59999,60000,5999,59999,59999,59999,60000,59999,59999,59999,59999,59999,59999,59999,59999,59997,59999,59999,60000,59999,59999,59998,60000,59999,59999,59999,59999,59999,59999,59999,59999,5999,5999,5999,5999
1489165465603,60000,60000,60001,59999,60000,59999,60000,59999,59999,59999,59999,59999,59999,60000,5999,59999,59999,59999,59999,59999,59999,59999,59999,60000,59999,59999,59999,60001,60000,60000,60000,59999,59999,60002,59998,59999,59999,59999,59999,60000,59999,59999,59999,6000,5999,5999,5999
1489165465804,59999,59999,59999,59999,59999,60000,59999,59999,59999,59999,60001,59999,60000,59999,5999,59999,59999,60001,60000,60000,60000,59999,60000,59999,59999,59999,59999,60001,60000,60000,60000,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,5999,5999,5999,6000
1489165466004,59997,59997,59997,59999,59996,59998,59998,59998,59999,59997,59998,59996,59998,59997,5999,59999,59999,59998,59999,59999,59999,59999,59999,59999,59999,59999,59999,59998,59999,59999,60000,59999,59999,59999,59999,59999,60000,59999,59999,59999,59999,59999,60000,5999,5999,5999,6000
